Username,Hashtags,Headings,Likes,Comments,Repost,Replies
gundumamameme,['kalki2898ad\xa0#prabhas\xa0#tollywood #gundumamameme'],Jyotisyudu suryudi card ☀️tiyadam nuvvu chakram pattukovadam 🛞...intha direct ga cheppina kuda evariki doubt raaledu 🥵🙏,366,3.0,3.0,
msdhoni_778i,['NA'],,6.7K,41.0,39.0,
movies4u_official,['NA'],#VijayDeverakonda #Movies4u,478,3.0,3.0,
_chetanmahajan,['What is yours?'],"My technology stack for new websites:
1. Next.js
2. MongoDB
3. Prisma
4. Next Auth
5. Tailwind CSS",127,45.0,9.0,
ekow_hudson,['NA'],"THE heart CHANGE COLOUR WHEN YOU LIKE
👉🏿👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👈🏿
👉🏿👉🏾👇🏽👇🏽👇🏽👇🏽👇🏽👇🏽👇🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👇🏼👇🏼👇🏼👇🏼👇🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👉🏼👇🏻👇🏻👇🏻👈🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👉🏼👉🏻🤍👈🏻👈🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👉🏼👆🏻👆🏻👆🏻👈🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👆🏼👆🏼👆🏼👆🏼👆🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👆🏽👆🏽👆🏽👆🏽👆🏽👆🏽👆🏽👈🏾👈🏿
👉🏿👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👈🏿
👉🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👈🏿",2.6K,27.0,14.0,
anime_professor_telugu,['anime #animeprofessortelugu #animeedit #animetelugu #animetelugumemes #animetelugufans #otakutelugu'],Zenitsu is the main character,999,8.0,21.0,
olaotantc,['NA'],Does it irritate anyone else that this dude literally cried half the show whilst Tanjiro trained his ass off yet he’s dropping into the infinity castle like some kind of Hashira level boss??,4.6K,713.0,217.0,
lenswithaglance,"['⭐️Rating 2/5', 'What I liked:\n1. Amazing visual effects \n2. The Mahabharat connection (which I definitely not guessed from the trailer)\n3. Massy BGM (specially the climax one)', 'What I dislike:\n1. Poor songs\n2. Unnecessarily long runtime\n3. Too much characters\n4. Unnecessary cameo of Disha Patani\n5. Resemblance from Marvel\n6. Kamal Haasan’s role was limited']",Kalki 2898 AD - Honest Review,41,3.0,1.0,
kyou.acab,['NA'],DemonSlayer S4 Hashira Training Arc be like:,3.4K,24.0,170.0,
filmybowl,['Prabhas #Maruthi #MalavikaMohanan #NiddhiAgerwal'],#RajaSaab Story Line!!,326,2.0,1.0,
cine__muchatlu,['NA'],#kamalhassan #kalki2898ad,159,1.0,17.0,
chinna_basha_,['NA'],Salaar 2 shoot start anta 💥🥵,17,,,
msdhoni_778i,['NA'],,6.7K,41,39,
movies4u_official,['NA'],#VijayDeverakonda #Movies4u,478,3,3,
_chetanmahajan,['What is yours?'],"My technology stack for new websites:
1. Next.js
2. MongoDB
3. Prisma
4. Next Auth
5. Tailwind CSS",127,45,9,
adhey_entertainment,['kalki2898ad #nagashwin #prabhas'],"🔥star ante rebel ey raaaa... 
Rebel ante raju ey ra... 
Rebel star.... Uhhhhhhhh prabhass......",199,2.6K,2.6K,
ekow_hudson,['NA'],"THE heart CHANGE COLOUR WHEN YOU LIKE
👉🏿👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👈🏿
👉🏿👉🏾👇🏽👇🏽👇🏽👇🏽👇🏽👇🏽👇🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👇🏼👇🏼👇🏼👇🏼👇🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👉🏼👇🏻👇🏻👇🏻👈🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👉🏼👉🏻🤍👈🏻👈🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👉🏼👆🏻👆🏻👆🏻👈🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👆🏼👆🏼👆🏼👆🏼👆🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👆🏽👆🏽👆🏽👆🏽👆🏽👆🏽👆🏽👈🏾👈🏿
👉🏿👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👈🏿
👉🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👈🏿",2.6K,27,14,
anime_professor_telugu,['anime #animeprofessortelugu #animeedit #animetelugu #animetelugumemes #animetelugufans #otakutelugu'],Zenitsu is the main character,1K,8,21,
olaotantc,['NA'],Does it irritate anyone else that this dude literally cried half the show whilst Tanjiro trained his ass off yet he’s dropping into the infinity castle like some kind of Hashira level boss??,4.6K,714,217,
lenswithaglance,"['⭐️Rating 2/5', 'What I liked:\n1. Amazing visual effects \n2. The Mahabharat connection (which I definitely not guessed from the trailer)\n3. Massy BGM (specially the climax one)', 'What I dislike:\n1. Poor songs\n2. Unnecessarily long runtime\n3. Too much characters\n4. Unnecessary cameo of Disha Patani\n5. Resemblance from Marvel\n6. Kamal Haasan’s role was limited']",Kalki 2898 AD - Honest Review,41,3,1,
kyou.acab,['NA'],DemonSlayer S4 Hashira Training Arc be like:,3.4K,24,170,
filmybowl,['Prabhas #Maruthi #MalavikaMohanan #NiddhiAgerwal'],#RajaSaab Story Line!!,326,2,1,
cine__muchatlu,['NA'],#kamalhassan #kalki2898ad,159,1,58,
itsmymadanapalli,['NA'],Nannagaruuu🏃🏃,58,,,
jekhiel_,['NA'],Ufotable level animation so “Overpowered”😹,3.7K,63,282,
adhey_entertainment,['kalki2898ad #nagashwin #prabhas'],"🔥star ante rebel ey raaaa... 
Rebel ante raju ey ra... 
Rebel star.... Uhhhhhhhh prabhass......",200,127,127,
_chetanmahajan,['What is yours?'],"My technology stack for new websites:
1. Next.js
2. MongoDB
3. Prisma
4. Next Auth
5. Tailwind CSS",127,45,9,
theibeditor,['NA'],DemonSlayer #anime,262,1,8,
olaotantc,['NA'],Does it irritate anyone else that this dude literally cried half the show whilst Tanjiro trained his ass off yet he’s dropping into the infinity castle like some kind of Hashira level boss??,4.6K,714,217,
